SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-20-2016,Single Family Residential,1395 San Tomas Aquino Rd,SAN JOSE,CA,95130,940000,4,3,SAN JOSE,1732,7840,1958,1175,543,,Sold,,,http://www.redfin.com/CA/San-Jose/1395-San-Tomas-Aquino-Rd-95130/home/847000,MLSListings,ML81587145,N,Y,37.298668,-121.9770149
PAST SALE,June-25-2019,Single Family Residential,2290 Lindaire Ave,SAN JOSE,CA,95128,1300000,3,2,SAN JOSE,1575,10581,1952,75,825,,Sold,,,http://www.redfin.com/CA/San-Jose/2290-Lindaire-Ave-95128/home/1593963,MLSListings,ML81754863,N,Y,37.308134,-121.9339117
PAST SALE,April-11-2016,Single Family Residential,3659 Lindenwood Dr,SAN JOSE,CA,95117,1050000,3,2,SAN JOSE,1369,6060,1957,1245,767,,Sold,,,http://www.redfin.com/CA/San-Jose/3659-Lindenwood-Dr-95117/home/1357762,MLSListings,ML81563894,N,Y,37.3131942,-121.9647078
PAST SALE,May-9-2019,Single Family Residential,2540 Bailey Ave,SAN JOSE,CA,95128,1135000,2,2,SAN JOSE,1423,9441,1953,122,798,,Sold,,,http://www.redfin.com/CA/San-Jose/2540-Bailey-Ave-95128/home/1082320,MLSListings,ML81745572,N,Y,37.3247283,-121.9382228
PAST SALE,August-2-2019,Single Family Residential,4596 Meadowhurst Ct,SAN JOSE,CA,95136,880000,3,2.5,SAN JOSE,1578,3639,1976,37,558,,Sold,,,http://www.redfin.com/CA/San-Jose/4596-Meadowhurst-Ct-95136/home/1756865,MLSListings,ML81754999,N,Y,37.2647746,-121.8641998
PAST SALE,February-24-2017,Condo/Co-op,125 Patterson St #336,SAN JOSE,CA,95112,575000,2,2,SAN JOSE,1218,728,2006,926,472,374,Sold,,,http://www.redfin.com/CA/San-Jose/125-Patterson-St-95112/unit-336/home/12181671,MLSListings,ML81635691,N,Y,37.3266312,-121.879657
PAST SALE,September-12-2018,Condo/Co-op,300 Union Ave #22,CAMPBELL,CA,95008,720000,2,2,CAMPBELL,931,920,1979,361,773,311,Sold,,,http://www.redfin.com/CA/Campbell/300-Union-Ave-95008/unit-22/home/1831128,MLSListings,ML81715119,N,Y,37.2824739,-121.9339862
PAST SALE,May-18-2018,Townhouse,422 Tortola Way,SAN JOSE,CA,95133,630000,2,2.5,SAN JOSE,1067,795,1985,478,590,408,Sold,,,http://www.redfin.com/CA/San-Jose/422-Tortola-Way-95133/home/595539,MLSListings,ML81699499,N,Y,37.3691024,-121.8482439
PAST SALE,September-5-2017,Single Family Residential,315 N 20th St,SAN JOSE,CA,95112,720000,2,1,SAN JOSE,845,5750,1940,733,852,,Sold,,,http://www.redfin.com/CA/San-Jose/315-N-20th-St-95112/home/1059050,MLSListings,ML81671823,N,Y,37.3499149,-121.875362
PAST SALE,July-24-2018,Condo/Co-op,1944 Tradan Dr,SAN JOSE,CA,95132,472000,1,1,SAN JOSE,712,5644,1987,411,663,350,Sold,,,http://www.redfin.com/CA/San-Jose/1944-Tradan-Dr-95132/home/1698172,MLSListings,ML81711594,N,Y,37.40076,-121.883915
PAST SALE,July-10-2017,Condo/Co-op,20 Ryland Park Dr #208,SAN JOSE,CA,95110,560000,1,1.5,SAN JOSE,950,720,2001,790,589,346,Sold,,,http://www.redfin.com/CA/San-Jose/20-Ryland-Park-Dr-95110/unit-208/home/1373286,MLSListings,ML81652430,N,Y,37.3419162,-121.8958884
PAST SALE,April-30-2018,Townhouse,1152 Brace Ave #2,SAN JOSE,CA,95125,871500,2,1.5,SAN JOSE,954,498,1976,496,914,289,Sold,,,http://www.redfin.com/CA/San-Jose/1152-Brace-Ave-95125/unit-2/home/584283,MLSListings,ML81698072,N,Y,37.3032884,-121.9006826
PAST SALE,July-24-2017,Single Family Residential,992 Morse St,SAN JOSE,CA,95126,1410000,4,3,SAN JOSE,2032,6667,2014,776,694,,Sold,,,http://www.redfin.com/CA/San-Jose/992-Morse-St-95126/home/54514606,MLSListings,ML81655234,N,Y,37.3412653,-121.9264338
PAST SALE,September-23-2015,Condo/Co-op,2510 Riparian Ct,SAN JOSE,CA,95133,610002,2,2.5,SAN JOSE,1270,642,2006,1446,480,192,Sold,,,http://www.redfin.com/CA/San-Jose/2510-Riparian-Ct-95133/home/12181418,MLSListings,ML81501603,N,Y,37.381217,-121.858333
PAST SALE,August-22-2018,Single Family Residential,1393 Spencer Ave,SAN JOSE,CA,95125,1000000,2,1,SAN JOSE,960,6586,1947,382,1042,,Sold,,,http://www.redfin.com/CA/San-Jose/1393-Spencer-Ave-95125/home/841776,MLSListings,ML81716149,N,Y,37.3097891,-121.8900801
PAST SALE,July-20-2018,Single Family Residential,224 S 19th St,SAN JOSE,CA,95116,850000,3,1.5,SAN JOSE,1220,7943,1948,415,697,,Sold,,,http://www.redfin.com/CA/San-Jose/224-S-19th-St-95116/home/554113,MLSListings,ML81713528,N,Y,37.3409581,-121.8683802
PAST SALE,March-2-2018,Single Family Residential,2069 Rexford Way,SAN JOSE,CA,95128,1000068,2,1,SAN JOSE,1070,6066,1958,555,935,,Sold,,,http://www.redfin.com/CA/San-Jose/2069-Rexford-Way-95128/home/1564368,MLSListings,ML81691147,N,Y,37.3124156,-121.9293688
PAST SALE,July-11-2017,Single Family Residential,747 Colleen Dr,SAN JOSE,CA,95123,910000,3,2,SAN JOSE,1262,5720,1968,789,721,,Sold,,,http://www.redfin.com/CA/San-Jose/747-Colleen-Dr-95123/home/1421540,MLSListings,ML81652398,N,Y,37.2315296,-121.8414717
PAST SALE,March-23-2013,Single Family Residential,2079 ARDIS Dr,San Jose,CA,95125,795000,2,2,San Jose,1251,7970,1950,2360,635,,Sold,,,http://www.redfin.com/CA/San-Jose/2079-Ardis-Dr-95125/home/1831816,MLSListings,ML81304250,N,Y,37.2952619,-121.8830993
PAST SALE,July-25-2016,Condo/Co-op,2761 Buena Point Ct,SAN JOSE,CA,95121,598000,2,2,SAN JOSE,1053,435,1988,1140,568,275,Sold,,,http://www.redfin.com/CA/San-Jose/2761-Buena-Point-Ct-95121/home/1557799,MLSListings,ML81587979,N,Y,37.2998426,-121.7761549
PAST SALE,December-9-2015,Condo/Co-op,1055 N Capitol Ave #166,SAN JOSE,CA,95133,421000,2,2,SAN JOSE,832,1024,1981,1369,506,372,Sold,,,http://www.redfin.com/CA/San-Jose/1055-N-Capitol-Ave-95133/unit-166/home/705237,MLSListings,ML81533844,N,Y,37.3840313,-121.8589697
PAST SALE,April-30-2015,Single Family Residential,1433 Searcy Dr,SAN JOSE,CA,95118,740000,3,1.5,SAN JOSE,1180,7410,1962,1592,627,,Sold,,,http://www.redfin.com/CA/San-Jose/1433-Searcy-Dr-95118/home/1551695,MLSListings,ML81455460,N,Y,37.2612487,-121.8899023
PAST SALE,June-6-2017,Single Family Residential,6022 Gypsy Moth Pl,SAN JOSE,CA,95123,828000,3,2.5,SAN JOSE,1538,2277,1994,824,538,117,Sold,,,http://www.redfin.com/CA/San-Jose/6022-Gypsy-Moth-Pl-95123/home/1390044,MLSListings,ML81646988,N,Y,37.239762,-121.865534
PAST SALE,May-20-2016,Single Family Residential,1598 Trieste Way,SAN JOSE,CA,95122,630000,3,2,SAN JOSE,1124,3959,1977,1206,560,,Sold,,,http://www.redfin.com/CA/San-Jose/1598-Trieste-Way-95122/home/1067857,MLSListings,ML81578285,N,Y,37.3232742,-121.8523693
PAST SALE,June-10-2015,Single Family Residential,1738 Butano Dr,MILPITAS,CA,95035,1050000,4,2.5,MILPITAS,2029,5663,1968,1551,517,,Sold,,,http://www.redfin.com/CA/Milpitas/1738-Butano-Dr-95035/home/1842746,MLSListings,ML81464811,N,Y,37.4198356,-121.8693141
